,Unnamed: 0,Review Date,Source,Location,Address,City,State,ZIP,Star Rating,Author,URL,Feedback,Original Feedback Language (if not English),Engagement Response,Processed_Feedback,Negative_Score,Neutral_Score,Positive_Score,Compound_Score,Feedback_Categories
939,939,07/26/21,Google,97032 S-PETOSKEY,1980 US Highway 131 South   -,Petoskey,MI,49770,5,Dustin .v,https://maps.google.com/maps?cid=3139035134344284642,"The staff is nice especially Aaron , they are always there when you need something",--,--,staff,0.0,1.0,0.0,0.0,Neutral
942,942,07/26/21,Google,83081 WEST LANSING,5400 West Saginaw   -,Lansing,MI,48917,3,charlene lamothe,https://maps.google.com/maps?cid=16398533861021752604,It was ok. A lot of tables emty. No waiting. Good drinks. Nice staff. Food. So so.,--,--,lot table drink staff food,0.0,1.0,0.0,0.0,Neutral
943,943,07/26/21,Google,80070 WARREN,8025 12 Mile Rd   -,Warren,MI,48093,5,stephanie brozowski,https://maps.google.com/maps?cid=1643557499045825357,I had to write a review! I just ordered a order for curbside pickup and the woman i was talking to had amazing customer service skills! She was very kind and her attitude was awesome! Thankyou Michelle �,--,--,customer service skill attitude,0.0,1.0,0.0,0.0,Neutral
955,955,07/26/21,Google,94090 WYOMISSING,1905 Ridgewood Road   -,Wyomissing,PA,19610,4,That one guy,https://maps.google.com/maps?cid=325382296176197260,Clean,--,--,,0.0,0.0,0.0,0.0,Neutral
958,958,07/26/21,Google,75070 EXETER,5600 Perkiomen Ave.   -,Reading,PA,19606,5,John B,https://maps.google.com/maps?cid=13264184183670184209,"Always Number 1 ... the Best Food, Service, Quality and Prices.",--,--,service quality price,0.0,1.0,0.0,0.0,Neutral
963,963,07/26/21,Google,80070 WARREN,8025 12 Mile Rd   -,Warren,MI,48093,1,Marian Cunningham,https://maps.google.com/maps?cid=1643557499045825357,Didn't stay 45 minute wait at 5pm!,--,--,minute,0.0,1.0,0.0,0.0,Neutral
977,977,07/26/21,Google,83089 GRAND HAVEN,680 N. Beacon Boulevard   -,Grand Haven,MI,49417,5,James Gargano,https://maps.google.com/maps?cid=15642952947674355373,"It was pretty nice, it features quick service",--,--,service,0.0,1.0,0.0,0.0,Neutral
982,982,07/26/21,Yelp,84030 SOUTH WADSWORTH,5250 S. Wadsworth Blvd.   -,Lakewood,CO,80123,2,Tyler B.,--,https://yelp.com/biz/kxduNJ9BrO26b4QuCA1Iww?hrid=DcidPgI1sYa320BO3nkllw,--,--,,0.0,0.0,0.0,0.0,Neutral
995,995,07/26/21,Google,97017 RIDLEY PARK,320 Macdade Blvd.   -,Folsom,PA,19033,3,Laura W,https://maps.google.com/maps?cid=4247295173874264004,"I guess the shift was changing when my family arrived so things in the beginning weren't so smooth. But the service was great and the food was good. They need to do some deep cleaning, the windowsills were filthy. Shouldn't have to sit next to that trying to enjoy a meal.",--,Thank you for your feedback.  Much appreciated!,shift family thing service food cleaning windowsill meal,0.0,1.0,0.0,0.0,Neutral
999,999,07/26/21,Google,99072 MONACA,3944 Brodhead Road   -,Monaca,PA,15061,4,Lobo Mitro,https://maps.google.com/maps?cid=12889966861772896827,"Outstanding service by our server Lamar!
Food was very good as usual, it was a very enjoyable evening!",--,--,service server food evening,0.0,1.0,0.0,0.0,Neutral
1001,1001,07/26/21,Google,98064 GAYLORD,1379 W. Main Street   -,Gaylord,MI,49735,1,Daniel Batista,https://maps.google.com/maps?cid=13632679777599128283,"Nasty chicken al freddo. Chicken was so dry i couldnt finish earing my dinner.
I had to drink all of my lemonade to help me swallow the chicken and the waiter only showed up at the end when i was done. The restaurant was not even busy.
I will never go back there.",--,--,dinner lemonade help chicken waiter end restaurant,0.0,0.69,0.31,0.4019,Positive
1002,1002,07/26/21,Google,94087 BETHLEHEM,2109 Motel Drive   -,Bethlehem,PA,18018,5,Hipolita “Paula” Castro,https://maps.google.com/maps?cid=3011632328667652760,Great tasting food staff is amazing clean environment perfect prices for the amount of food served,--,--,tasting food staff environment price amount food,0.0,1.0,0.0,0.0,Neutral
1018,1018,07/26/21,Google,84001 GULL ROAD,5990 Gull Road   -,Kalamazoo,MI,49048,4,Willy,https://maps.google.com/maps?cid=11918705721315163837,"Bar tender needs to stay in the bar to wait on customers,  because when they leave to help waitresses that are as motivated as others in there job...  They neglect there bar customers.  I am a very patient man, but lately my patients has been tested when I've asked for another drink and im told ill get right with you, just to see over 10 drinks get put in after my drink order and filled before mine is making me wait a long time for a refill.  This is ridiculous and unprofessional.   Also.  I don't see anyone washing there hands in between taking my order at the bar, and cleaning someone else's DIRTY DISES at there table!!!  HELLO!!  COVID19 IS STILL IN EFFECT and what the government isn't telling anyone is that, 48,000 people have DIED from getting the shot!!  Florida is the worst of it.  Wake up people.  The shot was only 74% effective to start with.
WASH YOUR HANDS OR SHUT DOWN BC YOU ARE NOT STERLE!!!!!!  Thanks for putting all of your customers in harms way.  Also dealing with money and not washing your hands!!!  Way to go.  Caroline and Frank both are in violation of this!!!",--,--,bar tender bar customer help waitress bar customer patient man patient drink drink drink order mine time refill hand order bar dirty dis table government people wake people customer violation,0.161,0.684,0.155,-0.0516,Neutral
1037,1037,07/26/21,Google,96006 ROBINSON,6570 Rt.60 Steubenville Pike   -,Pittsburgh,PA,15205,1,CoCoPo12 Powers,https://maps.google.com/maps?cid=17564406388224401670,Not a family have been to other Applebee's that are way better. Food is always burnt and service sucks,--,--,family food service suck,0.492,0.508,0.0,-0.4404,Negative
1039,1039,07/26/21,Google,84002 S-CHARLOTTE,1642 Packard Hwy.   -,Charlotte,MI,48813,4,Brian Barden,https://maps.google.com/maps?cid=1956932084306708362,Decent food at a decent price.,--,--,food price,0.0,1.0,0.0,0.0,Neutral
1047,1047,07/26/21,Google,80065 STERLING HEIGHTS,37004 Van Dyke   -,Sterling Heights,MI,48312,1,Chris Brown,https://maps.google.com/maps?cid=8873530101478506399,I have eaten here for the last time my food was cold and the service has been nothing but down hill since the manager Austin left and the bartender Nick.,--,--,time food,0.0,1.0,0.0,0.0,Neutral
1048,1048,07/26/21,Google,83092 GRANDVILLE,4488 Potomac Avenue   -,Grandville,MI,49418,3,BBBK Professional,https://maps.google.com/maps?cid=17396958957490474022,"I ordered the hald rack of ribs, its usually great however my most recent visit was ok
The waitress seemed over worked not really sure but the service was not what we expected",--,--,visit service,0.0,1.0,0.0,0.0,Neutral
1051,1051,07/26/21,Google,89084 12TH ST,2911 West 12th Street   -,Erie,PA,16505,5,Dina Bullock,https://maps.google.com/maps?cid=9520118335343152850,Great food and staff is friendly �,--,--,food staff,0.0,1.0,0.0,0.0,Neutral
1052,1052,07/26/21,Google,83079 BATTLE CREEK,5775 Beckley Road   -,Battle Creek,MI,49015,3,Michael Carrano,https://maps.google.com/maps?cid=1598738692624718297,Expensive,--,--,,0.0,0.0,0.0,0.0,Neutral
1071,1071,07/26/21,Google,90001 HERSHEY,1181 Mae Street   -,Hummelstown,PA,17036,1,NC Charlie,https://maps.google.com/maps?cid=4163892027416980218,The food was not very good. I can understand why most Applebee's are out of business.,--,--,food applebee business,0.0,1.0,0.0,0.0,Neutral
1076,1076,07/26/21,Google,85015 FOUNTAIN,6428 S. Hwy. 85/87   -,Fountain,CO,80817,5,Yosef Mamo,https://maps.google.com/maps?cid=17500861837925546523,Great food great service highly recommended. The staff were so nice.,--,--,service staff,0.0,1.0,0.0,0.0,Neutral
1093,1093,07/26/21,Google,83098 SOUTH LANSING,6270 S Cedar St   -,Lansing,MI,48911,5,Chris Bon (Chris Bon),https://maps.google.com/maps?cid=2818688436328506100,Liked the new drink.,--,--,drink,0.0,1.0,0.0,0.0,Neutral
1109,1109,07/26/21,Google,94054 GRAND BLANC,1400 East Hill Road   -,Grand Blanc,MI,48439,1,Conscious Shay,https://maps.google.com/maps?cid=9380372627679487472,Chicken tenders hard as rocks. Did not receive any tarter sauce for the fish and chips. Fish wasn't good either. We ordered to go so it wasn't even worth coming back.,--,--,tarter sauce fish chip fish worth,0.0,0.725,0.275,0.2263,Positive
1114,1114,07/26/21,Google,84050 THORNTON,297 East 120th Avenue   -,Thornton,CO,80233,2,Katie Lewis,https://maps.google.com/maps?cid=14211106872441910216,The service was ok waited 15 mins to get the server to come to the table wasn't very busy . The Bathroom were dirty and two of the toilet seat were broken.,--,--,table bathroom toilet seat,0.0,1.0,0.0,0.0,Neutral
1115,1115,07/26/21,Google,77098 EBENSBURG,222 Jamesway Rd.   -,Ebensburg,PA,15931,5,art masters,https://maps.google.com/maps?cid=13097388318056220685,Very nice place to eat  Staff was great. Our watres was great... Very friendly �,--,--,place staff,0.0,1.0,0.0,0.0,Neutral
1119,1119,07/26/21,Google,84002 S-CHARLOTTE,1642 Packard Hwy.   -,Charlotte,MI,48813,1,Dave Legowsky,https://maps.google.com/maps?cid=1956932084306708362,Bad service,--,--,service,0.0,1.0,0.0,0.0,Neutral
1123,1123,07/26/21,Yelp,80073 COMMERCE,455 Haggerty Hwy.   -,Commerce Township,MI,48390,1,Joe Official V.,--,https://yelp.com/biz/phYvE1c5RLMlw1sBvHE1Zg?hrid=ZT5jsREpzJ6rURql7jFQcg,--,--,,0.0,0.0,0.0,0.0,Neutral
1126,1126,07/26/21,Google,"92046 HERMITAGE, PA",201 S. Hermitage Road   -,Hermitage,PA,16148,5,Vanessa Rouse,https://maps.google.com/maps?cid=5412335991489895363,Good food and great service,--,--,service,0.0,1.0,0.0,0.0,Neutral
1129,1129,07/26/21,Google,83088 OKEMOS,2284 Woodlake Drive   -,Okemos,MI,48864,5,Raeann Cheatham,https://maps.google.com/maps?cid=18387549273151305045,Always ordering togo on lunch break. Great food at a great price! My togo person Bri is always the sweetest. Definitely will keep going here.,--,--,food price togo person,0.0,1.0,0.0,0.0,Neutral
1135,1135,07/26/21,Google,85015 FOUNTAIN,6428 S. Hwy. 85/87   -,Fountain,CO,80817,3,Carolyn Morrison,https://maps.google.com/maps?cid=17500861837925546523,Food was mediocre as usual. Slow service.,--,--,food service,0.0,1.0,0.0,0.0,Neutral
1136,1136,07/26/21,Google,83088 OKEMOS,2284 Woodlake Drive   -,Okemos,MI,48864,5,Bethany Young,https://maps.google.com/maps?cid=18387549273151305045,Always a wonderful experience �,--,--,experience,0.0,1.0,0.0,0.0,Neutral
1137,1137,07/26/21,Google,78033 8 MILE,2111 West Eight Mile Rd   -,Detroit,MI,48203,4,Mattie Robinson,https://maps.google.com/maps?cid=11746959218495040180,Food was good! Boneless wings and salad. Company was even better!,--,--,food boneless wing salad company,0.0,1.0,0.0,0.0,Neutral
1145,1145,07/26/21,Google,80083 DUNDEE,119 Whitetail Drive   -,Dundee,MI,48131,5,Brenda Johnson,https://maps.google.com/maps?cid=4881856793081236068,Love this place!!,--,--,place,0.0,1.0,0.0,0.0,Neutral
1146,1146,07/26/21,Google,80077 MONROE,2100 N. Telegraph Road   -,Monroe,MI,48162,5,Brenda Johnson,https://maps.google.com/maps?cid=16526467520974761036,"The service was exemplary,  thanks Penny!",--,--,penny,0.0,1.0,0.0,0.0,Neutral
1154,1154,07/26/21,Yelp,75097 CLARION,22296 State Highway 68   -,Clarion,PA,16214,5,Claire F.,--,https://yelp.com/biz/OHgUzxybtadUyJzXRX-Nxg?hrid=oKqwbR0mtHwUJ-B5gMzx8g,--,--,,0.0,0.0,0.0,0.0,Neutral
1158,1158,07/26/21,Google,98064 GAYLORD,1379 W. Main Street   -,Gaylord,MI,49735,4,Jeffery Oswald,https://maps.google.com/maps?cid=13632679777599128283,It was good food. Our server tho was very distant and socially awkward. And avoided the table. Roger belive was his name.,--,--,food server table name,0.0,1.0,0.0,0.0,Neutral
1174,1174,07/26/21,Google,96066 MARQUETTE,2902 US Hwy. 41   -,Marquette,MI,49855,3,That Guy From Michigan,https://maps.google.com/maps?cid=12140642066805470863,It's an okay place. A few things from my order were missing and our server was kinda dumb,--,--,thing order server,0.0,1.0,0.0,0.0,Neutral
1177,1177,07/26/21,Google,94001 WILKES-BARRE,253 Wilkes-Barre Township Blvd   -,Wilkes-Barre,PA,18701,5,Chris Knight,https://maps.google.com/maps?cid=17042786221827575166,Very friendly staff!,--,--,staff,0.0,1.0,0.0,0.0,Neutral
1185,1185,07/26/21,Google,84096 BRIGHTON,922 S. 4th Ave.   -,Brighton,CO,80601,5,Roseann Remmer,https://maps.google.com/maps?cid=14406599471959499854,"We really enjoy eating here the service is excellent and the food is delicious, It's great to be back after a year and half due to Covid 19 ""Congratulations to Maegan now Manager Good For You"" Remmer's",--,--,service year half congratulation manager,0.0,0.506,0.494,0.5994,Positive
1190,1190,07/26/21,Google,89056 SAGINAW,2260 Tittabawassee   -,Saginaw,MI,48604,1,Kelly Waters,https://maps.google.com/maps?cid=2435562836425732399,Rude,--,--,,0.0,0.0,0.0,0.0,Neutral
1195,1195,07/26/21,Yelp,78001 SOUTHFIELD,29177 Southfield Rd   -,Southfield,MI,48076,1,Lela D.,--,https://yelp.com/biz/hBhzeEwjvNmsIo6RJsbK6w?hrid=Aaa4QQVyvr0_RKdeqZ_hEQ,--,--,,0.0,0.0,0.0,0.0,Neutral
1203,1203,07/26/21,Google,83087 CASCADE,4955 28th Street   -,Grand Rapids,MI,49546,2,sam rutter589@aol.com,https://maps.google.com/maps?cid=309140289806943927,Cook was new and couldn't cook a steak properly. Sent mine and misses back. Hers was tough. At least the appetizers were good.,--,--,appetizer,0.0,1.0,0.0,0.0,Neutral
1224,1224,07/26/21,Google,87085 WEST MIFFLIN,2045 Lebanon Church Road   -,Pittsburgh,PA,15122,4,Dennis Shinton,https://maps.google.com/maps?cid=9582569830074837875,"Great service,no waiting",--,--,service,0.0,1.0,0.0,0.0,Neutral
1227,1227,07/26/21,Google,75042 S-DAVISON,10040 Lapeer Road   -,Davison,MI,48423,4,heather asmondy,https://maps.google.com/maps?cid=12041453866832993992,"Service was great! Food was pretty good, but the constant loud ringing of the phone was a little off-putting",--,--,service food phone,0.0,1.0,0.0,0.0,Neutral
1231,1231,07/26/21,Google,80073 COMMERCE,455 Haggerty Hwy.   -,Commerce Township,MI,48390,2,Todd,https://maps.google.com/maps?cid=16744343174116201382,Place has jumped the shark.  I have no problem with the industry in general suffering from staffing shortages and being unable to handle full capacity but this place - well it just isn't catching on.  To bad.  I wonder when the management finishes destroying their neighborhood goodwill what will replace it?,--,--,place shark problem industry staffing shortage capacity place wonder management neighborhood goodwill,0.32,0.68,0.0,-0.5719,Negative
1236,1236,07/26/21,Google,80070 WARREN,8025 12 Mile Rd   -,Warren,MI,48093,5,Josh Smith,https://maps.google.com/maps?cid=1643557499045825357,"Was a nice experience. Staff was friendly. Store clean, and food was good. Frances was super quick with the refills on my drinks. Great overall.",--,--,experience staff store refill,0.0,1.0,0.0,0.0,Neutral
1241,1241,07/26/21,Google,90086 BURTON,4135 E. Court Street   -,Burton,MI,48509,5,Bella Sunshine,https://maps.google.com/maps?cid=12391225918062405231,I had an ABSOLUTELY AMAZING dining experience at this location! The atmosphere and staff is very friendly. I ordered the blackened salmon and it was cooked and seasoned to perfection! My waiter Kuriel pronounced corral was exceptional!! Good job to the crew members of this establishment! I'll be back soon!�,--,--,dining experience location atmosphere staff salmon perfection waiter job crew member establishment,0.0,0.748,0.252,0.5719,Positive
1242,1242,07/26/21,Google,76007 UNIONTOWN,102 Walmart Drive   -,Uniontown,PA,15401,4,chris da-man,https://maps.google.com/maps?cid=12321037513709524657,Great service food was very good. Not busy at all and easy to find. I have been here a couple times now and plan to stop in again when I'm in the area. Our waitress Raven was awesome!,--,--,service food couple time plan area waitress,0.0,1.0,0.0,0.0,Neutral
1252,1252,07/26/21,Google,99001 LEWISBURG,300 International Dr.   -,Lewisburg,PA,17837,4,Janessa Maurer,https://maps.google.com/maps?cid=7813425332991774633,"Dinner was decent, margaritas were fantastic. Service was good, overall no complaints. One of the better Applebee's in the area.",--,--,dinner service complaint applebee area,0.355,0.645,0.0,-0.296,Negative
1266,1266,07/26/21,Google,84005 S-WINSTON PARK,1205 W. Michigan Ave.   -,Marshall,MI,49068,5,Tommy Wright,https://maps.google.com/maps?cid=11066452315626469813,Had a great burger there!,--,--,,0.0,0.0,0.0,0.0,Neutral
1276,1276,07/26/21,Google,80069 ROSEVILLE,31653 Gratiot Avenue   -,Roseville,MI,48066,5,Patricia Burnett-Walker,https://maps.google.com/maps?cid=13414192603172437112,"I love Appleee's ,Everyone  was Spaced out & the wait was only 15 minutes, The Service  was Awesome  & my food was plentiful and Delicious, we left a 15 dollar Tip & there was only 2 of us.",--,--,service food dollar tip,0.0,1.0,0.0,0.0,Neutral
1279,1279,07/26/21,Google,80067 PORT HURON,3700 Pine Grove Ave.   -,Port Huron,MI,48060,1,Sabrina Romain,https://maps.google.com/maps?cid=8575566517722091455,"If you are a frequent customer on doordash I  recommend avoiding applebees.
Man do they really know how to make someone go from 0 to 100 real quick.
I was door dashing last night, I had arrived at 915pm. My order was to be picked up at 920. I stood there for over an hour before contacting doordash and letting them know they weren't very cooperative when I asked when my order would be done so I could let my customer know. While on the phone with doordash, THEY CANCELLED THE ORDER. WHILE I WAS STANDING RIGHT THERE WAITING!!! I got 3 dollars for that order, because it was cancelled. They proceeded to stare at me as I was waiting because I didnt know th re y had cancelled it until probably 10 minutes after the fact. So not only did they cancel an order for absolutely no reason, they wasted my time and my customers time. And didnt even have the decency to explain or even tell me they cancelled the order. Terrible quality of staff and I will never dash for them again.",--,--,customer doordash recommend applebee door night order order customer phone doordash order dollar fact order reason time customer time decency order quality staff,0.0,0.898,0.102,0.3612,Positive
1280,1280,07/26/21,Google,80082 LAPEER,1811 DeMillie Road   -,Lapeer,MI,48446,4,Robert Evoy,https://maps.google.com/maps?cid=4505664760565680932,"Wife and I had a nice dinner there. Good service,  good food.  Love the hometown pictures.",--,--,service food hometown picture,0.0,1.0,0.0,0.0,Neutral
1300,1300,07/26/21,Google,83092 GRANDVILLE,4488 Potomac Avenue   -,Grandville,MI,49418,5,Angelica Jackson,https://maps.google.com/maps?cid=17396958957490474022,"Great place anytime, any day I get great service. Cooked to your delight fresh tender� juicy tasting steaks. Waitress service is always friendly, professional.l love this place has ample s",--,--,service delight love place ample,0.0,0.27,0.73,0.8442,Positive
1308,1308,07/26/21,Google,83088 OKEMOS,2284 Woodlake Drive   -,Okemos,MI,48864,5,Taryn Clapsaddle,https://maps.google.com/maps?cid=18387549273151305045,Taryn was our waitress. She was wonderful and a delight to have. Food came out great,--,--,food,0.0,1.0,0.0,0.0,Neutral
1309,1309,07/26/21,Google,93015 MEADVILLE,11227 Shaw Avenue   -,Meadville,PA,16335,5,Shawn Steider,https://maps.google.com/maps?cid=16454684258622775072,"Steak and shrimp with parmesan was bomb. For a little sirloin that's only $20 including veggies and potatoes, it was one of the best steaks I've had dining out in a while.",--,--,bomb sirloin veggie potato steak,0.444,0.556,0.0,-0.4939,Negative
1316,1316,07/26/21,Google,84005 S-WINSTON PARK,1205 W. Michigan Ave.   -,Marshall,MI,49068,5,Stephen Martin,https://maps.google.com/maps?cid=11066452315626469813,"My wife and I went to the restaurant last night in a really bad way. We had broken down on the highway and had just gotten towed into the local car dealership for service. Unfortunately, this was late on a Sunday afternoon and we were headed to Chicago to catch a flight to Albuquerque the next morning to go visit our son for the first time since he went out there. Frankie and his staff got wind of our predicament and bent over backwards to make us a little more comfortable while we explored ways to turn things back around. The dinner we bought there was very enjoyable but the service and hospitality was outstanding. Thanks so much, Applebee's of Marshall! You all rock!",--,--,night way highway car dealership service afternoon morning visit time staff wind predicament way thing dinner service hospitality applebee,0.0,1.0,0.0,0.0,Neutral
1323,1323,07/26/21,Google,84000 S-PLAINWELL,1243 Hwy. M-89   -,Plainwell,MI,49080,5,Thomas Moore,https://maps.google.com/maps?cid=8760447179148142837,"Me and the fam haven't had Applebee's in a very long time, so coming here was a great experience. Our family is rather large, so we were very surprised that our food was done within 25 minutes! The food was exceptionally good, and the workers even more so. I would encourage everyone to try the Chicken Wonton Tacos, an Applebee's spin on the Asian classic and app-solutely delicious!",--,--,time experience family food minute food worker,0.0,1.0,0.0,0.0,Neutral
1326,1326,07/26/21,Google,94054 GRAND BLANC,1400 East Hill Road   -,Grand Blanc,MI,48439,5,Jeannette Wright,https://maps.google.com/maps?cid=9380372627679487472,"Had a little wait but it was worth it.  Our server Conrad was awesome,  our food was hot and very good",--,--,server food good,0.0,0.408,0.592,0.4404,Positive
1339,1339,07/26/21,Google,98014 PORT RICHMOND,2501 Aramingo Ave.   -,Philadelphia,PA,19125,1,Nick C,https://maps.google.com/maps?cid=10207143640296785667,The chicken was burnt and the onions were cooked,--,"I am sorry about what happened with your visit and would like to hear more about your experience. If you could reach out to me at Bill.Reed@therosegroup.com with your name and email or phone number, it would be appreciated.",chicken onion,0.0,1.0,0.0,0.0,Neutral
1340,1340,07/26/21,Google,77035 MILLENDER CENTER (APPB),333 E. Jefferson Ave   -,Detroit,MI,48226,1,Gaven Spenser,https://maps.google.com/maps?cid=14987894189056958166,Absolutely disgusting and very disappointed.,--,--,,0.0,0.0,0.0,0.0,Neutral
1343,1343,07/26/21,Google,99020 ROXBOROUGH,701 Cathedral Road   -,Philadelphia,PA,19128,5,Ern Mckinliegh,https://maps.google.com/maps?cid=553860339095759775,"Food was delicious.  Great staff, but it's very, very cold in there lol.  I mean it felt great to go outside.  It was freezing ���.",--,--,food staff,0.0,1.0,0.0,0.0,Neutral
1349,1349,07/26/21,Google,80077 MONROE,2100 N. Telegraph Road   -,Monroe,MI,48162,5,Matthew Bobby,https://maps.google.com/maps?cid=16526467520974761036,This is a nice clean location.  The half off appetizers during the happy hour can't be beat.,--,--,appetizer hour,0.0,1.0,0.0,0.0,Neutral
1352,1352,07/26/21,Google,83090 EAST BELTLINE,3250 Grand Ridge Dr NE   -,Grand Rapids,MI,49525,5,Carrianne Seppala,https://maps.google.com/maps?cid=4402115546847181426,Took granddaughter out for lunch,--,--,granddaughter lunch,0.0,1.0,0.0,0.0,Neutral
1378,1378,07/26/21,Google,99072 MONACA,3944 Brodhead Road   -,Monaca,PA,15061,5,Ricki Hinzy,https://maps.google.com/maps?cid=12889966861772896827,Great service   good food,--,--,service food,0.0,1.0,0.0,0.0,Neutral
1383,1383,07/26/21,Google,84003 S-LUDINGTON,3881 W. US Hwy. 10   -,Ludington,MI,49431,4,Brian Hansen,https://maps.google.com/maps?cid=13968323473149217618,Good food at fair price,--,--,price,0.0,1.0,0.0,0.0,Neutral
1403,1403,07/26/21,Google,92070 LANCASTER,2321 Lincoln Highway East   -,Lancaster,PA,17601,5,Jender Rivas,https://maps.google.com/maps?cid=9254482081466463489,The best,--,--,,0.0,0.0,0.0,0.0,Neutral
1417,1417,07/26/21,Google,84032 ILIFF,14091 E. Iliff Avenue   -,Aurora,CO,80014,3,Jonathon Smitherson,https://maps.google.com/maps?cid=16257314941577754228,"Decent food, decent pricing, double check your meal is what you ordered. We ordered, they got one dish wrong, we asked that it be replaced, they said yes and then sent out the same dish on a different plate and we decided to call it quits.",--,--,food pricing check meal plate call,0.0,1.0,0.0,0.0,Neutral
1422,1422,07/26/21,Google,83080 KALAMAZOO,5330 West Main Street   -,Kalamazoo,MI,49009,5,Angelyn Thean,https://maps.google.com/maps?cid=6408725489516438309,The server for my table was nice and friendly.,--,--,server table,0.0,1.0,0.0,0.0,Neutral
1426,1426,07/26/21,Google,99020 ROXBOROUGH,701 Cathedral Road   -,Philadelphia,PA,19128,3,Thomas Mack,https://maps.google.com/maps?cid=553860339095759775,My wife's food came out very cold. The Manager made her another meal and asked if it was ok. The waitress Brianna was very nice.,--,"I am sorry about what happened with your visit and would like to hear more about your experience. If you could reach out to me at Bill.Reed@therosegroup.com with your name and email or phone number, it would be appreciated.",wife manager meal,0.0,1.0,0.0,0.0,Neutral
1438,1438,07/25/21,Google,94091 SOUTHAMPTON,1063 East Street Road   -,Southampton,PA,18966,5,Tammam mustafa,https://maps.google.com/maps?cid=4802530822563878128,Great service from a young guy Mike...love Applebee's  thanks,--,--,service,0.0,1.0,0.0,0.0,Neutral
1464,1464,07/25/21,Google,96020 TREXLERTOWN,7150 Hamilton Blvd.   -,Trexlertown,PA,18087,5,Mike Rosko,https://maps.google.com/maps?cid=5548406409652948552,Food was great. No contact menus and payment. Friendly staff.,--,--,food contact staff,0.0,1.0,0.0,0.0,Neutral
1465,1465,07/25/21,Google,75005 CASTOR AVENUE,2535-37 Castor Avenue   -,Philadelphia,PA,19134,4,sandy,https://maps.google.com/maps?cid=18102631466816524389,"Nice people.my family gets there all the time. maybe 3 times a month. Never really had a bad time. But a couple a years ago, e would always get random added food in the food we would order.( like this one time I found a onion in my yogurt�) but these pass 2 years has been great. No complaints",--,--,people family time month time couple year food food time year complaint,0.167,0.833,0.0,-0.296,Negative
1471,1471,07/25/21,Google,87085 WEST MIFFLIN,2045 Lebanon Church Road   -,Pittsburgh,PA,15122,4,Chelsea Herd,https://maps.google.com/maps?cid=9582569830074837875,"Server was friendly, well versed in the menu, and very good at her job. The food was pretty good, no complaints or iui issues. It just took a bit to get in and seated and service was a little slow. But this was no fault of the staff, but due to being under staffed. (Like basically every other restaurant and store right now.)",--,--,job food complaint issue bit service fault staff restaurant store,0.38,0.62,0.0,-0.5994,Negative
1477,1477,07/25/21,Google,90001 HERSHEY,1181 Mae Street   -,Hummelstown,PA,17036,5,K Dunne,https://maps.google.com/maps?cid=4163892027416980218,"Great service,  food and drinks were just fine",--,--,service food,0.0,1.0,0.0,0.0,Neutral
1492,1492,07/25/21,Google,85015 FOUNTAIN,6428 S. Hwy. 85/87   -,Fountain,CO,80817,4,Diane Midkiff,https://maps.google.com/maps?cid=17500861837925546523,Loved the pretzel sticks ! Rest of our food was good also . Joslyn our server was very friendly and did a great job,--,--,server job,0.0,1.0,0.0,0.0,Neutral
1497,1497,07/25/21,Google,94095 QUAKERTOWN,145 N. West End Blvd.   -,Quakertown,PA,18951,5,Dan Perez,https://maps.google.com/maps?cid=10050627491755657910,"We had a great time at the Quakertown Applebee’s.  It all began with terrific service from Cameron our waitress. She was very nice, polite and took very good care of us throughout our entire dinner.  The drinks are very good here too.  The blueberry lemonade was good too.  We ordered the chicken Caesar salad, the Whiskey burger (which has a great sauce for the burger) and the boneless honey bbq wings.  Everything came out great and we were very pleased with the entire experience at this location. I recommend visiting.",--,--,time service waitress care dinner salad whiskey sauce honey wing experience location recommend,0.0,0.659,0.341,0.6908,Positive
1513,1513,07/25/21,Google,99020 ROXBOROUGH,701 Cathedral Road   -,Philadelphia,PA,19128,5,Charlene Prem,https://maps.google.com/maps?cid=553860339095759775,Everything was terrific. Mary was a excellent server.,--,--,server,0.0,1.0,0.0,0.0,Neutral
1529,1529,07/25/21,Google,95077 TRINITY POINT,1004 Trinity Circle   -,Washington,PA,15301,4,Cassandra Hillis,https://maps.google.com/maps?cid=8612420665774773715,"Great experience each time we go. Super friendly staff, respectable, and patient especially when we have our kids with us. Thank you",--,--,experience time staff patient kid,0.0,1.0,0.0,0.0,Neutral
1530,1530,07/25/21,Google,99068 EPHRATA,320 E. Main Street   -,Ephrata,PA,17522,1,Robert Abers,https://maps.google.com/maps?cid=8300977392901765306,"Over an hour for food. I get times are tough and all, but ordered an appetizer, no plates to share the app. No drink refills for 40 minutes. Several servers on the floor too, and not slammed, but fairly busy. Used to come here a lot never again. Food was cold as well, and my daughter's pasta looked old and was dried out. Gross, for 75 bucks, I would have been better off literally anywhere for dinner.",--,--,hour food time refill minute server floor lot food daughter buck dinner,0.0,1.0,0.0,0.0,Neutral
1537,1537,07/25/21,Google,80077 MONROE,2100 N. Telegraph Road   -,Monroe,MI,48162,5,Gary Russeau,https://maps.google.com/maps?cid=16526467520974761036,Mel is the best bartender at Applebee's.  Love being served when Mel is on duty.  Thank you Mel.,--,--,applebee love duty,0.0,0.323,0.677,0.6369,Positive
